iter	RMSE
0	13.06577618
1	12.96090276
2	12.86937022
3	12.7646973
4	12.68425299
5	12.62225893
6	12.55560932
7	12.4671922
8	12.39708504
9	12.32631454
10	12.26595955
11	12.20902126
12	12.14144092
13	12.09144289
14	12.04072196
15	12.00977247
16	11.96732426
17	11.90183848
18	11.85178179
19	11.80861901
20	11.75044896
21	11.71020257
22	11.6690907
23	11.63072082
24	11.58844786
25	11.54101936
26	11.49831475
27	11.46511124
28	11.43294034
29	11.4175932
30	11.38394875
31	11.35091582
32	11.32283742
33	11.3007785
34	11.27000934
35	11.24154428
36	11.20907967
37	11.17862175
38	11.14440765
39	11.12590906
40	11.1030086
41	11.07666296
42	11.05211422
43	11.03474945
44	11.00104534
45	10.96533316
46	10.94871789
47	10.92402116
48	10.89742169
49	10.8793974
50	10.86460671
51	10.84589747
52	10.83098689
53	10.81844751
54	10.8090075
55	10.78888298
56	10.76278373
57	10.74520175
58	10.72886595
59	10.70704245
60	10.69522361
61	10.67956935
62	10.66026202
63	10.64038154
64	10.62014668
65	10.59788506
66	10.58305256
67	10.56550532
68	10.55233225
69	10.53872407
70	10.52151459
71	10.51493537
72	10.50318756
73	10.49347779
74	10.48832359
75	10.4789629
76	10.4645301
77	10.45850733
78	10.4474194
79	10.44051324
80	10.43711004
81	10.42501865
82	10.41348111
83	10.40613876
84	10.393393
85	10.38075051
86	10.37002206
87	10.36799046
88	10.35642183
89	10.35289909
90	10.33736421
91	10.33572514
92	10.31991244
93	10.31182427
94	10.30672278
95	10.29559449
96	10.27863085
97	10.27703855
98	10.25701763
99	10.24798852
100	10.24623703
101	10.23111269
102	10.22405729
103	10.21336333
104	10.20401407
105	10.19742152
106	10.18932777
107	10.17845748
108	10.17134512
109	10.1684874
110	10.16125675
111	10.1544062
112	10.15296297
113	10.15090397
114	10.14990712
115	10.13644517
116	10.12527145
117	10.10944796
118	10.10130867
119	10.08684279
120	10.07261078
121	10.06149849
122	10.05494793
123	10.0460633
124	10.02654103
125	10.0144804
126	9.998920187
127	9.996763423
128	9.986967559
129	9.973220384
130	9.960645074
131	9.953756783
132	9.946178127
133	9.938121326
134	9.931257818
135	9.920818663
136	9.912879614
137	9.89971331
138	9.89446478
139	9.888096874
140	9.876957723
141	9.871478132
142	9.868429618
143	9.857079247
144	9.85448178
145	9.840161535
146	9.835652002
147	9.824968934
148	9.81744891
149	9.810888826
150	9.803982981
151	9.79939715
152	9.789969721
153	9.77899392
154	9.775295521
155	9.770798832
156	9.759584254
157	9.750553609
158	9.745220886
159	9.735227058
160	9.727577403
161	9.716684503
162	9.710692886
163	9.705649119
164	9.704308252
165	9.69778161
166	9.692623781
167	9.678302521
168	9.666447215
169	9.655053724
170	9.650493026
171	9.640474204
172	9.634918013
173	9.633823886
174	9.626455626
175	9.621414354
176	9.615419752
177	9.605497856
178	9.599814889
179	9.589193243
180	9.580533781
181	9.575980527
182	9.564965637
183	9.551509511
184	9.544119381
185	9.527830111
186	9.522190112
187	9.512305417
188	9.503378113
189	9.49247559
190	9.486770985
191	9.472051052
192	9.465671622
193	9.456497122
194	9.45256428
195	9.445372799
196	9.438551476
197	9.435291494
198	9.427712227
199	9.418248603
200	9.411510178
201	9.395121873
202	9.385324207
203	9.373637159
204	9.36166043
205	9.358267697
206	9.347383366
207	9.343719957
208	9.339206535
209	9.332799023
210	9.326525595
211	9.312961459
212	9.310219433
213	9.304700111
214	9.300584646
215	9.295275318
216	9.290460027
217	9.284717611
218	9.281458894
219	9.26853954
220	9.259052662
221	9.252508088
222	9.247114341
223	9.2376381
224	9.234920896
225	9.230213536
226	9.226452995
227	9.222096599
228	9.210106252
229	9.203015948
230	9.200555073
231	9.195836849
232	9.192908765
233	9.185248212
234	9.174355925
235	9.168288683
236	9.164298882
237	9.160968543
238	9.149622447
239	9.138663782
240	9.131384956
241	9.119342088
242	9.108135119
243	9.095180403
244	9.085951817
245	9.079940477
246	9.074092196
247	9.067755639
248	9.063336798
249	9.061874773
250	9.05943479
251	9.052099051
252	9.043157221
253	9.034481885
254	9.028477441
255	9.026203756
256	9.022329959
257	9.012235732
258	9.008361888
259	9.006671315
260	8.999716761
261	8.990789052
262	8.978498485
263	8.975228561
264	8.973234958
265	8.964761673
266	8.952306502
267	8.94457103
268	8.935304786
269	8.925181379
270	8.913359629
271	8.904288859
272	8.900350448
273	8.891657897
274	8.888630775
275	8.885933926
276	8.884113482
277	8.877292589
278	8.870549873
279	8.866021811
280	8.859282808
281	8.856507707
282	8.845859152
283	8.837969102
284	8.835189044
285	8.829024756
286	8.827378721
287	8.82356792
288	8.813118906
289	8.801720113
290	8.798969358
291	8.794142331
292	8.787586115
293	8.785726247
294	8.782854113
295	8.775583994
296	8.766851449
297	8.760723335
298	8.758811832
299	8.753768871
300	8.750348245
301	8.742564321
302	8.730152265
303	8.725296035
304	8.71312166
305	8.71169172
306	8.709953099
307	8.707329398
308	8.705441219
309	8.699871384
310	8.695013152
311	8.684511203
312	8.682922949
313	8.676664559
314	8.671831217
315	8.666192835
316	8.657898319
317	8.652618906
318	8.645862257
319	8.63998349
320	8.635330904
321	8.627421625
322	8.624224849
323	8.617757502
324	8.615560374
325	8.613059588
326	8.60205134
327	8.593861484
328	8.5878896
329	8.579987222
330	8.575206345
331	8.569645346
332	8.567970035
333	8.557715776
334	8.555895136
335	8.552936567
336	8.55064985
337	8.547302953
338	8.542900916
339	8.53516025
340	8.526944434
341	8.521769498
342	8.5174484
343	8.506476969
344	8.504537902
345	8.501825424
346	8.499025674
347	8.493221292
348	8.486725567
349	8.473822141
350	8.466072023
351	8.458304899
352	8.454431
353	8.442738846
354	8.436324263
355	8.426905534
356	8.423521172
357	8.418139724
358	8.411904538
359	8.401843292
360	8.395838246
361	8.390557753
362	8.381751778
363	8.378197754
364	8.372108408
365	8.363809932
366	8.361737471
367	8.355509087
368	8.34672172
369	8.339709509
370	8.337836216
371	8.334372465
372	8.329714503
373	8.324930162
374	8.323568596
375	8.321731377
376	8.316640244
377	8.306382513
378	8.298399679
379	8.295096926
380	8.292492457
381	8.290919763
382	8.288744665
383	8.285604822
384	8.277187084
385	8.275456894
386	8.268553835
387	8.263558772
388	8.259317153
389	8.251591667
390	8.243474871
391	8.236309725
392	8.234747647
393	8.229581755
394	8.220822588
395	8.21071251
396	8.204765328
397	8.193951627
398	8.192329203
399	8.186159227
400	8.184873639
401	8.180566374
402	8.178022228
403	8.176126653
404	8.17047369
405	8.165763835
406	8.160787643
407	8.153534759
408	8.149324147
409	8.144617347
410	8.142449
411	8.135849472
412	8.129292344
413	8.126517809
414	8.116708732
415	8.11395618
416	8.110564216
417	8.101922143
418	8.10030552
419	8.098915552
420	8.090387258
421	8.080998117
422	8.078005224
423	8.073631528
424	8.066589939
425	8.061701214
426	8.058016928
427	8.055995913
428	8.043059054
429	8.039788669
430	8.028839751
431	8.023666244
432	8.019312491
433	8.013466115
434	8.007005835
435	8.003697064
436	7.998320006
437	7.991707442
438	7.987798153
439	7.98634362
440	7.978642333
441	7.97363565
442	7.972048692
443	7.970983771
444	7.965202549
445	7.958194829
446	7.95291102
447	7.947177172
448	7.945120011
449	7.938311621
450	7.930738728
451	7.927088123
452	7.925158609
453	7.92326276
454	7.918711302
455	7.915077361
456	7.911088197
457	7.905227936
458	7.902657774
459	7.894532793
460	7.890854134
461	7.889558682
462	7.878077809
463	7.869532436
464	7.863711785
465	7.857150909
466	7.849393143
467	7.844769747
468	7.838720722
469	7.834413481
470	7.829073076
471	7.827790369
472	7.822855215
473	7.814159262
474	7.808673679
475	7.805099098
476	7.804182903
477	7.801196026
478	7.794119956
479	7.790453691
480	7.787135581
481	7.781158515
482	7.777036908
483	7.771581929
484	7.765366134
485	7.760529412
