iter	Passed	Remaining
0	0	799
1	1	704
2	1	654
3	2	644
4	3	629
5	3	572
6	3	543
7	4	546
8	4	544
9	5	524
10	5	522
11	6	520
12	6	517
13	7	518
14	7	516
15	8	494
16	8	493
17	9	492
18	9	492
19	10	495
20	10	495
21	11	495
22	11	494
23	12	493
24	12	492
25	13	493
26	13	493
27	14	492
28	14	494
29	15	485
30	15	486
31	16	486
32	16	485
33	17	487
34	17	489
35	18	489
36	18	491
37	19	492
38	19	492
39	20	492
40	21	493
41	21	493
42	22	492
43	22	491
44	23	490
45	23	490
46	24	489
47	24	489
48	25	488
49	25	488
50	26	487
51	26	486
52	27	485
53	27	487
54	28	486
55	28	486
56	29	485
57	29	484
58	30	483
59	30	482
60	31	482
61	31	481
62	32	480
63	32	480
64	33	479
65	33	478
66	34	478
67	34	477
68	35	477
69	35	476
70	36	475
71	36	473
72	37	472
73	37	472
74	38	471
75	38	470
76	39	470
77	39	469
78	40	469
79	40	470
80	41	468
81	41	468
82	42	469
83	43	469
84	43	468
85	44	468
86	44	467
87	44	464
88	45	464
89	45	462
90	46	461
91	46	457
92	46	457
93	47	456
94	47	456
95	48	456
96	48	456
97	49	454
98	49	453
99	50	453
100	50	449
101	51	449
102	51	448
103	52	448
104	52	447
105	53	447
106	53	446
107	54	446
108	54	446
109	54	444
110	55	444
111	55	443
112	56	440
113	56	438
114	56	435
115	57	434
116	57	434
117	58	434
118	58	433
119	59	433
120	59	433
121	60	432
122	60	432
123	61	432
124	61	431
125	62	431
126	62	431
127	63	430
128	63	430
129	64	429
130	64	429
131	65	428
132	65	428
133	66	428
134	66	427
135	67	427
136	67	427
137	68	428
138	69	428
139	69	428
140	70	427
141	70	427
142	71	426
143	71	426
144	72	426
145	72	425
146	73	425
147	73	425
148	74	424
149	74	424
150	75	423
151	75	423
152	76	422
153	76	422
154	77	422
155	77	421
156	78	420
157	78	420
158	79	419
159	79	419
160	80	418
161	80	418
162	81	417
163	81	416
164	82	415
165	82	414
166	82	413
167	83	413
168	83	412
169	84	412
170	84	411
171	85	411
172	85	410
173	86	408
174	86	407
175	86	407
176	87	406
177	87	405
178	88	405
179	88	404
180	89	404
181	89	403
182	90	402
183	90	402
184	91	401
185	91	401
186	92	400
187	92	400
188	93	399
189	93	399
190	94	398
191	94	398
192	95	397
193	95	396
194	95	396
195	96	395
196	96	395
197	97	394
198	97	394
199	98	393
200	98	392
201	99	392
202	99	391
203	100	391
204	100	390
205	101	390
206	101	389
207	102	388
208	102	388
209	103	387
210	103	387
211	103	386
212	104	385
213	104	385
214	105	384
215	105	384
216	106	383
217	106	383
218	107	382
219	107	382
220	108	381
221	108	381
222	109	380
223	109	380
224	110	379
225	110	379
226	111	378
227	111	378
228	112	377
229	112	376
230	113	376
231	113	375
232	113	374
233	114	374
234	114	373
235	115	373
236	115	372
237	116	372
238	116	371
239	117	371
240	117	370
241	118	370
242	118	369
243	119	368
244	119	368
245	120	367
246	120	367
247	120	366
248	121	366
249	121	365
250	122	365
251	122	364
252	123	364
253	123	363
254	124	363
255	124	362
256	125	361
257	125	361
258	126	360
259	126	360
260	127	359
261	127	359
262	128	358
263	128	358
264	128	357
265	129	357
266	129	356
267	130	356
268	130	355
269	131	355
270	131	354
271	132	353
272	132	353
273	133	352
274	133	352
